observation_date,CPALTT01JPQ657N
1971-01-01,1.4690451206715398058122445946
1971-04-01,1.7580144777663000432710305176
1971-07-01,1.1178861788617999728501217760
1971-10-01,1.3065326633165699199423670507
1972-01-01,0.3968253968253859786941006860
1972-04-01,2.1739130434782700795892651513
1972-07-01,0.8704061895551429284267896946
1972-10-01,1.3422818791946100613898806841
1973-01-01,2.7436140018921602035106843687
1973-04-01,5.0644567219152802906023680407
1973-07-01,2.9798422436459199857949897705
1973-10-01,4.2553191489361807953173411079
1974-01-01,9.3061224489795701941829975112
1974-04-01,4.4809559372666205590007848514
1974-07-01,3.7169406719085102963617828209
1974-10-01,4.2039972432804892932267648575
1975-01-01,1.9841269841269599805144707716
1975-04-01,2.7237354085603397990666962869
1975-07-01,1.0732323232323102146779092436
1975-10-01,2.6233603997501804272474146273
1976-01-01,2.3128423615337698748817274463
1976-04-01,3.0933967876264101271033268858
1976-07-01,1.3271783035198998490500343905
1976-10-01,2.3917995444191602061323465023
1977-01-01,2.2246941045606201114992472867
1977-04-01,2.7203482045701803393455975311
1977-07-01,0.4237288135593278992629961976
1977-10-01,0.9493670886075959991501349577
1978-01-01,0.5224660397074140094630934072
1978-04-01,2.0790020790020800056652205967
1978-07-01,0.7637474541751700929381740934
1978-10-01,0.3031834259727139158080433390
1979-01-01,-0.1511335012594459126233914503
1979-04-01,2.3713420787083698826336330967
1979-07-01,1.0349926071956498940807023246
1979-10-01,1.6585365853658700086015187480
1980-01-01,1.9673704414587400712832732097
1980-04-01,3.1999999999999904076730672386
1980-07-01,1.0487916096671299204245997316
1980-10-01,1.2635379061372000730756326448
1981-01-01,0.9358288770053340144272624457
1981-04-01,1.5894039735099398935602721394
1981-07-01,0.3476749239461009999274665461
1981-10-01,1.1693373754872200542820337432
1982-01-01,0.0000000000000000000000000000
1982-04-01,1.0702054794520499125809465113
1982-07-01,0.5082592121982359989473820860
1982-10-01,0.8849557522123759900622985697
1983-01-01,-0.3341687552213780110221819086
1983-04-01,1.1735121542330100297135686560
1983-07-01,-0.2485501242750489114818890357
1983-10-01,1.0797342192690899675966420546
1984-01-01,0.4108463434675528880291039968
1984-04-01,0.7774140752864259207299824084
1984-07-01,-0.0406008932196463973030020611
1984-10-01,1.1372867587327299965238580626
1985-01-01,0.1204819277108429981248960416
1985-04-01,0.9225832330525391977715798930
1985-07-01,0.1589825119236839001679584271
1985-10-01,0.4365079365079410078642752069
1986-01-01,0.0395100750691382979207233461
1986-04-01,0.2369668246445630066521204071
1986-07-01,-0.4728132387706989736564366922
1986-10-01,-0.0395882818685625026411400995
1987-01-01,-0.5544554455445460661167089711
1987-04-01,1.2345679012345600611411100545
1987-07-01,-0.1966955153422549895658733021
1987-10-01,0.2759164367362990089027618978
1988-01-01,-0.5503144654087969156464055231
1988-04-01,0.6719367588932859680639353428
1988-07-01,0.1963093835885268978458384481
1988-10-01,0.7445141065830809257164446535
1989-01-01,-0.5445352003111810779145685046
1989-04-01,2.3464998044583795788753377565
1989-07-01,0.1910584638899288922875285834
1989-10-01,0.6102212051868759479233972343
1990-01-01,0.3790750568612549775693310039
1990-04-01,1.3595166163142100579364068835
1990-07-01,0.1862891207153418993147653282
1990-10-01,1.6362960208255898919560422655
1991-01-01,0.5122575923893080140913980358
1991-04-01,1.0192937750272998975731297833
1991-07-01,0.0000000000000240000000000000
1991-10-01,1.2252252252252098241314115512
1992-01-01,-0.3559985760057038928216854856
1992-04-01,1.3933547695605699168197588733
1992-07-01,-0.4580690627202220199798432532
1992-10-01,0.3893805309734559849665913589
1993-01-01,0.0000000000000000000000000000
1993-04-01,0.9167842031029548310883114937
1993-07-01,0.4542278127183749791839773025
1993-10-01,-0.2782608695652100117001737090
1994-01-01,0.1046389954656319065673386604
1994-04-01,0.4878048780487960756069298895
